,_,idx,dataset,name,n_nodes,frac_total,density,dbar,dcv,dmax,null_100_sim_g,null_100_sim,null_100_sim_e,null_100_comp_g,null_100_comp,null_100_comp_e,data_sim_g,data_sim,data_sim_e,data_comp_g,data_comp,data_comp_e
0,0,1,,S2,165,1.0,0.05365853658536585,8.8,0.9460629267429177,63,0.1603831063590601,0.09859543752228285,0.13803433461285688,0.07298517440881615,0.051306047332555914,0.06849540662985197,0.32976012652666725,0.25873316178003375,0.34040260446217196,0.030319828396519727,0.01947058530747123,0.027094262126407094
1,0,1,,S1,320,1.0,0.04641457680250784,14.80625,0.9631271877135356,113,0.1432580228888194,0.08733211340933501,0.12059594555120831,0.06796977535354591,0.04734481481034,0.06256641945006561,0.2877046165164613,0.2551109897061114,0.297861621251692,0.03243167951481495,0.022241847134125428,0.030423388528186542
2,0,1,,facebook_friends,329,0.9088397790055248,0.03621469345392542,11.878419452887538,0.9213163789936403,63,0.1162123069321658,0.06710333141768263,0.09720235365020256,0.07142089061130887,0.04501215417888775,0.06308567745943876,0.5120611357976463,0.3799495566266241,0.5114060341053476,0.015329816493079039,0.014989596530282135,0.016834117121829056
3,0,1,,gplus_114054672576929802335,175,1.0,0.27178981937602625,47.29142857142857,0.8022937929196625,155,0.5166149551733279,0.4061877919733795,0.5013662501542973,0.014071511748113441,0.01325550433464878,0.015500246670045088,0.5356076544174152,0.4276026444281659,0.5242814523796284,0.015206905644298186,0.014899081813667569,0.016733474230086483
4,0,1,,gplus_116899029375914044550,22,1.0,0.4675324675324675,9.818181818181818,0.5783146840602663,20,0.6353163590031587,0.5410057552653668,0.6133922644996762,0.0012102748362591196,0.0012519620800337796,0.001290978794678621,0.6197398622800306,0.5208163279289879,0.5927422440909059,0.010230179028132993,0.010867411212387289,0.011018165380428456
5,0,1,,facebook_3980,44,0.8461538461538461,0.14587737843551796,6.2727272727272725,0.6628751667263346,18,0.276813031402188,0.19867045560073385,0.2484367294830518,0.09952343383642548,0.08190634044489147,0.0967401704965346,0.44404332129963897,0.3361703935374203,0.4258201610449253,0.04028103044496487,0.04160470018297418,0.044395129395239055
6,0,1,,gplus_103251633033550231172,371,0.9946380697050938,0.08365994026371384,30.954177897574123,0.9544130415429039,180,0.26570490401783625,0.1652732799423487,0.23467773200950678,0.08166286642500191,0.05972840060894325,0.07946692656704554,0.32309973045822105,0.2006565209495302,0.28917482781295545,0.0641762136284867,0.048474521305819,0.0645163337873987
7,0,1,,facebook_348,224,1.0,0.12780269058295965,28.5,0.7848233967888637,99,0.3099880942395985,0.21178134065338916,0.27900107275773417,0.09252657193210738,0.0738046935594228,0.09069501493207113,0.4902791105177521,0.4009379096323782,0.47225325045431615,0.0425283387639497,0.029915429430194044,0.04013379006494141
8,0,1,,gplus_117412175333096244275,222,0.8809523809523809,0.035546859076270844,7.8558558558558556,1.4994405291686046,93,0.15049440402848702,0.08685598840876824,0.14464152131807345,0.03309594277915885,0.023551046595204003,0.033829043087858696,0.13386342376052385,0.12342156822130555,0.1752971815567611,0.10117921766377924,0.08025519274663978,0.09248281503424759
9,0,1,,gplus_110241952466097562819,83,1.0,0.19717895974140465,16.16867469879518,0.95717373349876,68,0.45255187306300526,0.3254626792120756,0.4362630422327322,0.012588106863376788,0.01125390629300151,0.013550038315033036,0.44676409185803756,0.32026163686224496,0.4484145626312719,0.026165810862231874,0.026775361788998572,0.02872343257248407
10,0,1,,gplus_113597493946570654755,321,1.0,0.14410046728971962,46.11214953271028,0.8786401325421584,175,0.395714429167758,0.2624184754370706,0.3617477129657965,0.06577990364992861,0.05337335593736986,0.06728629053258789,0.45282526119834,0.3039021001378795,0.42064722206505994,0.06145775490809137,0.05079407750426585,0.06427494315857442
11,0,1,,gplus_101541879642294398860,486,0.9959016393442623,0.12865809681388146,62.39917695473251,0.9883802854117738,333,0.3638978665144913,0.24624468735401675,0.33778476629058934,0.044810741021237596,0.037080124914460375,0.0471628126734916,0.39317703824838546,0.27212802954792087,0.3707778061910147,0.03879230759539424,0.03301516744380231,0.041652066841232134
12,0,1,,gplus_100500197140377336562,638,1.0,0.06969385294508447,44.39498432601881,1.0561867158267153,458,0.21902988428032344,0.14399995657248527,0.19770378292481244,0.06130723957196378,0.04631825341725123,0.061288093053255846,0.28670479467565607,0.22449521511578704,0.30399949135229015,0.05721340823799747,0.04182930887260319,0.053356049074910546
13,0,1,,gplus_107459220492917008623,562,1.0,0.07612232858203133,42.704626334519574,1.0148192641494784,327,0.23962738098728076,0.15525204771203044,0.21332025868385307,0.0671846740724101,0.05095421198023644,0.06668210679890042,0.3495037988274792,0.2662718371932013,0.3562676255320627,0.037769055666096736,0.026882108306675742,0.03693679643645149
14,0,1,,gplus_107965826228461029730,495,1.0,0.13703840019629493,67.6969696969697,0.8951228639958422,361,0.35041895344510143,0.2467574695406098,0.32487158548334344,0.05992014716868331,0.04970450679540887,0.062459310989118985,0.40572019365059,0.29388895842982926,0.39500797873066695,0.037655509386368295,0.03268412259057976,0.039185010326352236
15,0,1,,facebook_414,148,0.9866666666666667,0.15554329840044126,22.864864864864863,0.564534972919602,57,0.26344746236436495,0.20621537086807706,0.24243332342629414,0.11256617892775596,0.09665938418064304,0.10952326085422304,0.6457982767359352,0.5501744576158709,0.6277928344892332,0.026752077698233154,0.02382141961709963,0.026392197928872367
16,0,1,,gplus_102615863344410467759,102,1.0,0.22694622403416811,22.92156862745098,0.7761488672644804,88,0.43847190216264914,0.3410318321959208,0.4161965526998571,0.03621514153023446,0.03417576507484461,0.03890709073434758,0.42032177743727256,0.33022745542154863,0.4015204183059146,0.04835883549000684,0.04489564602535714,0.05080188592981114
17,0,1,,gplus_115576988435396060952,492,1.0,0.09746990545261867,47.857723577235774,1.0216052426148532,261,0.29624982643433756,0.19705972554552212,0.2666547769469378,0.05434058916834364,0.044515377338787576,0.055740811885743334,0.3696808090592738,0.2661224729599777,0.3518196167120578,0.03190452697782589,0.02863176358608423,0.034796881703004524
18,0,1,,gplus_109342148209917802565,550,1.0,0.10524258983275377,57.77818181818182,1.020318843282939,315,0.34996245995319053,0.21827997971496724,0.3177117143121351,0.05871493951578934,0.044957135739443196,0.06016678451810356,0.37226461241678654,0.22502472421184005,0.3354698860785158,0.05447294447463092,0.042268019534660056,0.057839690145738164
19,0,1,,gplus_104105354262797387583,452,1.0,0.12276553578086062,55.36725663716814,1.2872314115328112,429,0.3062045992361561,0.22611411303491824,0.32532575222127424,0.011004597739916654,0.009149755759483277,0.012499166987107367,0.27741459092251647,0.20047568549575415,0.2895975652320683,0.04487103018910213,0.04078032955995655,0.049422171576410906
20,0,1,,facebook_698,40,0.6557377049180327,0.28205128205128205,11.0,0.5214411054436359,29,0.420084659218919,0.34686190940054373,0.3929793629581678,0.07992083436776605,0.07777503393869493,0.08272334111888391,0.6560531840447865,0.5987935384155518,0.6626859552842452,0.011202263083451203,0.010439027177210522,0.010636304380449085
