,_,idx,dataset,name,n_nodes,frac_total,density,dbar,dcv,dmax,null_100_sim_g,null_100_sim,null_100_sim_e,null_100_comp_g,null_100_comp,null_100_comp_e,data_sim_g,data_sim,data_sim_e,data_comp_g,data_comp,data_comp_e
0,0,1,,terrorists_911,62,1.0,0.08038075092543628,4.903225806451613,0.8155506866146781,22,0.1825656397732818,0.11827833870583934,0.15808128213765613,0.07931071737978757,0.05942988021752697,0.07485527218556531,0.3608815426997245,0.2925750365776706,0.3656977230254375,0.01422475106685633,0.010213643228102816,0.013377565455326926
0,0,1,,sp_hospital,75,1.0,11.684324324324324,864.64,1.1065727342763994,4286,0.5781812618110532,0.5059912275366247,0.5510760085693875,0.03630705324825754,0.0392123511076064,0.03909521795963094,0.7081052009515678,0.587710301433726,0.6209217962994923,0.018438910872816322,0.02739667887178118,0.028573112277433158
0,0,1,,november17,22,1.0,0.2857142857142857,6.0,0.5967081414398551,14,0.4705627256122653,0.37452708909931964,0.44023564491729333,0.060914086211742095,0.057809485597723545,0.06271349508113437,0.5286624203821656,0.42992445267667134,0.5211186694900702,0.01911915329463981,0.013873068054807354,0.018306174267988872
0,0,1,,intervals,113,1.0,0.3470290771175727,38.86725663716814,0.47212823995877734,98,0.48529251378781846,0.42876104684509847,0.46069347122894283,0.06806268487489883,0.07037562521014037,0.07174715380245762,0.49520463486719773,0.43838376519706757,0.47025050972827115,0.06019272956886469,0.06343613926379182,0.06438653415548477
0,0,1,,contacts,113,1.0,3.2898230088495577,368.46017699115043,0.8765881430171257,1483,0.48327761722628737,0.42737969867381365,0.4588969842620639,0.06851732044062687,0.07078319200027722,0.07218086113172059,0.558291057200735,0.48222064881085125,0.49991948384266843,0.047838085296689384,0.05193110910089343,0.055409511360591385
0,0,1,,77,34,1.0,0.13725490196078433,4.529411764705882,0.8282212344676635,16,0.2740163920190468,0.1880072766951055,0.2487798472902094,0.05575031479057488,0.04748426253471281,0.05662030107829748,0.2583170254403131,0.23712259843550723,0.27615635412943434,0.06260869565217392,0.04810455772741286,0.05782689363848671
0,0,1,,78,34,1.0,0.13903743315508021,4.588235294117647,0.8326427118527959,17,0.26725945917481897,0.18564994318607503,0.24315087166806093,0.05647486374629176,0.048152580348607324,0.05726275124866193,0.2556818181818182,0.2395929306957657,0.2754174111538356,0.060733867566427666,0.047097237047082414,0.056214572748418415
0,0,1,,reality_mining,96,1.0,238.24649122807017,22633.416666666668,0.9638166781677506,98257,0.6916671950362135,0.6332735821912161,0.6732415526698873,0.03215822496845631,0.03458555918570471,0.03434952047499876,0.8185010402665623,0.7338191299465429,0.755238000503871,0.012531492588223697,0.01632666445252638,0.016646328797101186
0,0,1,,friendship-15,120,1.0,0.04131652661064426,4.916666666666667,0.7317245766515159,18,0.08226706898265884,0.05095765988649379,0.06833346799985825,0.06038976362787017,0.03948484138718139,0.05162589768498806,0.07239819004524888,0.04770714838117502,0.06194427829312613,0.04296116504854369,0.026856080153441726,0.0341745236469083
0,0,1,,friendship-14,124,1.0,0.07907159716758458,9.725806451612904,0.6567226996031043,41,0.1268191161332963,0.09032792249920454,0.10974684951893401,0.07742020783220153,0.06034067147064721,0.07113292799884953,0.15062633669416436,0.11982106195895993,0.13702577911750527,0.06217594234289494,0.04986587701782038,0.05632006177515616
0,0,1,,friendship-17,65,1.0,0.14423076923076922,9.23076923076923,0.7567290723164327,34,0.23350584143215936,0.16766892334639671,0.20796339087630758,0.08399376357455467,0.0705656580429586,0.08262526312075283,0.2642932569014934,0.19189440976960456,0.23162516319058457,0.06339590744197514,0.05718940372219495,0.06327242840410086
0,0,1,,health-advice_14,120,1.0,0.05112044817927171,6.083333333333333,0.8021129911153692,27,0.10693188789787068,0.06531727670839381,0.08803322968864684,0.06304726176361818,0.04351605999921697,0.05568723452722257,0.10927035600986958,0.08719671167281359,0.1055610433050755,0.04774082836293358,0.03383738350039404,0.041085358944229405
0,0,1,,health-advice_15,117,1.0,0.03094606542882405,3.58974358974359,1.3397761006974263,37,0.10446283920300792,0.054802751324325404,0.09235865122926488,0.039118691317901313,0.024760899681637555,0.035673524967111896,0.06072758521913492,0.027841277378302557,0.04787390969848199,0.041268122480899956,0.021677454310817405,0.03621635278819821
0,0,1,,health-advice_17,63,1.0,0.08141321044546851,5.0476190476190474,0.9375289244381013,31,0.17117101650241412,0.11183848193175955,0.15451098449663175,0.057456537268700966,0.04450302462070584,0.05618910748730907,0.12966762412802627,0.09717099282974834,0.13428974809643748,0.06119680450183389,0.04493847188321689,0.05833528046017158
0,0,1,,friendship-7,121,1.0,0.12796143250688705,15.355371900826446,0.5298532662444414,45,0.16469490065838344,0.13013632291413774,0.14806642642293,0.09718991890154224,0.08276956056750812,0.09163785809728213,0.1755978104292711,0.14819570618084518,0.16008821219318445,0.08347634035102239,0.07423942621686665,0.07965445732118831
0,0,1,,health-advice_7,121,1.0,0.07947658402203857,9.537190082644628,0.8184308172228913,62,0.14288582406100986,0.09802648726176372,0.12327101676012991,0.06840708450873961,0.05389219524065925,0.06439719480456661,0.13541391166358108,0.09069959403060908,0.1149730432059493,0.053154220045976794,0.045415707759918204,0.05180093786741115
0,0,1,,sp_kenyan_households,47,1.0,30.19703977798335,1389.063829787234,0.8849693641381517,4193,0.5676895897750097,0.5244551412463959,0.5463596742744548,0.05744622877229457,0.062120819045152285,0.06122998747521253,0.7195683138777286,0.6864838673053374,0.6962758672233321,0.009628110280053547,0.01033162014713631,0.01090202384844414
